H-1	TOT
8.641010E+04	1.339590E+01
9.126970E+04	1.316110E+01
9.701990E+04	1.288330E+01
9.733520E+04	1.286810E+01
1.014110E+05	1.269540E+01
1.107760E+05	1.229870E+01
1.131260E+05	1.219910E+01
1.204900E+05	1.192490E+01
1.300000E+05	1.157080E+01
1.309170E+05	1.154120E+01
1.414000E+05	1.120300E+01
1.454180E+05	1.107330E+01
1.516600E+05	1.089010E+01
1.611290E+05	1.061210E+01
1.634020E+05	1.054540E+01
1.711990E+05	1.034490E+01
1.823350E+05	1.005850E+01
1.838270E+05	1.002010E+01
1.926810E+05	9.819510E+00
2.014110E+05	9.621670E+00
2.042520E+05	9.557280E+00
2.215520E+05	9.208990E+00
2.246780E+05	9.146060E+00
2.409800E+05	8.853440E+00
2.460920E+05	8.761680E+00
2.618340E+05	8.508230E+00
2.673880E+05	8.418820E+00
2.819750E+05	8.208430E+00
2.920190E+05	8.063580E+00
3.021160E+05	7.934360E+00
3.222570E+05	7.676610E+00
3.447970E+05	7.425520E+00
3.545940E+05	7.316370E+00
3.646700E+05	7.220060E+00
3.880800E+05	6.996290E+00
4.028220E+05	6.855370E+00
4.113660E+05	6.786170E+00
4.431040E+05	6.529110E+00
4.462080E+05	6.503970E+00
4.697800E+05	6.337880E+00
4.936390E+05	6.169780E+00
5.035270E+05	6.111140E+00
5.538800E+05	5.812490E+00
5.577600E+05	5.789470E+00
6.084650E+05	5.530600E+00
6.638200E+05	5.283040E+00
7.148830E+05	5.080110E+00
7.198910E+05	5.062350E+00
7.713120E+05	4.880040E+00
8.000000E+05	4.789280E+00
8.343400E+05	4.680650E+00
9.181070E+05	4.448550E+00
9.255740E+05	4.430410E+00
1.000000E+06	4.249540E+00
1.072560E+06	4.099010E+00
1.115520E+06	4.009900E+00
1.216930E+06	3.826630E+00
1.327640E+06	3.651090E+00
1.429770E+06	3.506780E+00
1.542620E+06	3.363950E+00
1.668680E+06	3.220900E+00
1.838270E+06	3.051360E+00
1.851150E+06	3.039980E+00
2.000000E+06	2.908420E+00
2.085850E+06	2.842980E+00
2.231040E+06	2.732300E+00
2.359630E+06	2.646150E+00
2.433860E+06	2.596420E+00
2.600000E+06	2.497240E+00
2.636680E+06	2.475340E+00
2.859530E+06	2.356520E+00
3.063790E+06	2.258040E+00
3.085250E+06	2.248650E+00
3.290930E+06	2.158670E+00
3.545940E+06	2.057490E+00
3.728410E+06	1.993010E+00
3.880800E+06	1.939160E+00
4.200000E+06	1.838250E+00
4.632450E+06	1.718470E+00
5.070540E+06	1.612010E+00
5.476180E+06	1.524130E+00
5.881830E+06	1.445120E+00
6.214020E+06	1.386570E+00
6.287470E+06	1.373620E+00
6.693110E+06	1.308580E+00
7.098760E+06	1.249260E+00
7.249690E+06	1.229160E+00
7.605810E+06	1.181720E+00
8.112870E+06	1.120690E+00
8.619920E+06	1.065250E+00
8.741530E+06	1.053120E+00
